id;hash;time;median_time;size;stripped_size;weight;version;version_hex;version_bits;merkle_root;nonce;bits;difficulty;chainwork;coinbase_data_hex;transaction_count;witness_count;input_count;output_count;input_total;time_per_block;Столбец1;;;;17,00;;;;
759149;00000000000000000003729c7d929225178a0297dddf607f6855387fe0a67b99;0:17:00;17.10.2022 23:06;1244415;916340;3993435;613236736;248d4000;1,00E+29;1e1b70b0e33df8ebf98d5c1fee6759d394480e6f07c27b00c522c23d4f3b30ca;225903676;386393970;3,56E+13;00000000000000000000000000000000000000003760b211e6f61a09e330704c;036d950b1b4d696e656420627920416e74506f6f6c38353028009702cd34e796fabe6d6dffe7a2eb98e6d2256fe897eeb0a661135ee98678a0d631f34366a29b71b1ae0002000000000000000000ad586ed8020000000000;1788;1502;6238;7581;1,17E+12;17,00;;;;;4,00;;;;
759150;00000000000000000000040dae951aa0f405efa9f982a804762535dc0f44d788;0:34:00;17.10.2022 23:21;1463306;843174;3992828;680804352;28944000;1,01E+29;c983568b81112043bf4726d78124f18866ff1fe68379f03cc41266a81c74a51a;436672356;386393970;3,56E+13;00000000000000000000000000000000000000003760d275501603bd721037a6;036e950b049bf44d632f466f756e6472792055534120506f6f6c202364726f70676f6c642f1d1e2f7c5902000000000000;2593;2126;6947;8431;1,14E+12;4,00;;;;;17,00;;;;
759151;0000000000000000000761b61ea5cbf5e5f23e5be46d798866ab0b7d6f89ebdf;0:38:00;17.10.2022 23:25;1709721;761098;3993015;536887300;20004004;1,00E+29;55ec6ae0ab948d19b7483565e9d0abfdc068faec17392e154e88257f3bf45bf2;2494773101;386393970;3,56E+13;00000000000000000000000000000000000000003760f2d8b935ed7100efff00;036f950b0494f54d632f53424943727970746f2e636f6d20506f6f6c2f02779f29f4ee280000000000;2282;2038;8809;6428;8,56E+11;17,00;;;;;4,00;;;;
759152;00000000000000000002e432050d1bc3fe58182474b37a863cfaf50b93bc4e75;0:45:00;17.10.2022 23:26;1159905;484180;2612445;536879104;20002000;1,00E+29;a3a95a5ac8c732341982417ffde17021dc39aea3f1892eb3317daba8940882fe;2187907896;386393970;3,56E+13;00000000000000000000000000000000000000003761133c2255d7248fcfc65a;0370950b0442f74d632f466f756e6472792055534120506f6f6c202364726f70676f6c642f12f09a480e41520000000000;998;846;6386;3495;1,38E+11;4,00;;;9,99;;7,00;;;;
759153;000000000000000000050a6f1799f997443cca6e3d6f59a7a303b7c3b27abb06;0:52:00;17.10.2022 23:56;471018;288278;1335852;536870916;20000004;1,00E+29;1ae674348bcc86c33ca9a63c8f611f846dcd1b85d4a48677d0c9efdbda1af586;3538707373;386393970;3,56E+13;00000000000000000000000000000000000000003761339f8b75c0d81eaf8db4;0371950b04e2f84d632f53424943727970746f2e636f6d20506f6f6c2f027646cf746d380000000000;1000;830;2074;3596;2,07E+11;7,00;;;;;7,00;;;;
759154;0000000000000000000613193d51a96f5b0930ed4595797b1940305b0f4b8c75;1:16:00;18.10.2022 0:17;1503865;829841;3993388;601628672;23dc2000;1,00E+29;74a7b6bc897a9a377a4d96035b8f646efad59ba3e3d2022735bbc65bfbc0b65f;870829486;386393970;3,56E+13;000000000000000000000000000000000000000037615402f495aa8bad8f550e;0372950b1b4d696e656420627920416e74506f6f6c3837371c000102e23c12a3fabe6d6d95aae793076f5febf8a1c3cf8aefe4e9e845aeea80881a9f89ab3f860ef0363302000000000000000000d19a3503000000000000;2981;2538;6418;11026;1,08E+12;7,00;;;;;24,00;;;;
759155;0000000000000000000570630be2ad3fae465010fdd54a3b904889667afedc86;1:35:00;18.10.2022 0:34;1586026;802247;3992767;673652736;28272000;1,01E+29;e3bf24ea01e84c4a83137969e4804387ea4c07baf19dbbc6aeb4131b366238bb;2402414679;386393970;3,56E+13;0000000000000000000000000000000000000000376174665db5943f3c6f1c68;0373950b0b2f4d61726120506f6f6c2f1a01000200000003000000080090cf2bfa760200000000;2218;1887;7890;7684;2,56E+12;24,00;;;;;19,00;;;;
759156;000000000000000000039ab980227bced93284b56d2c8081076af746e666b641;1:45:00;18.10.2022 0:38;2182997;603347;3993038;543162368;20600000;1,00E+29;2cfc728e509dd8a727282324c8acf5d0923c3ab740808a32f6a48c2b6ec0c47b;3920705792;386393970;3,56E+13;0000000000000000000000000000000000000000376194c9c6d57df2cb4ee3c2;0374950b0428054e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f2016a60e103c000000000000;1317;1112;6387;4240;1,36E+12;19,00;;;;;10,00;;;;
759157;000000000000000000071262c5f3d4acff8f48148f5bfa7786320c9aaf81d593;2:17:00;18.10.2022 0:45;1283439;903159;3992916;855244800;32fa0000;1,10E+29;de8eee6d8bef1df7726e18ec30f93edf6bb3ae4ebe94a640904c902b527b86ee;1232166150;386393970;3,56E+13;00000000000000000000000000000000000000003761b52d2ff567a65a2eab1c;0375950b0b2f4d61726120506f6f6c2f1a010002000000030000000800cdbb4c04000000000000;2125;1774;6218;7888;2,01E+12;10,00;;;;;32,00;;;;
759158;00000000000000000006bbeb741425e0eeed448e1c10e3cd5d0d7718c9143014;2:28:00;18.10.2022 0:52;1360510;877650;3993460;615940096;24b68000;1,00E+29;42c1f85bcca572ade41f85c91ea32f49844f29be9bb0360257ce9f3c11872bd8;3586983523;386393970;3,56E+13;00000000000000000000000000000000000000003761d59099155159e90e7276;0376950b1362696e616e63652f3837392800f103fc1b86eafabe6d6de8c9e7ffda49bbea9a357b7690473f1b220b1d221278f19cf46803b7a853cb2f02000000000000000000717a9d01000000000000;1953;1560;6615;7027;2,56E+12;32,00;;;;;11,00;;;;
759159;00000000000000000006367231aba4f0081fc5ecbe9dc3cdbd00c81a0e13e2ab;2:29:00;18.10.2022 1:16;1787750;621724;3652922;538968064;20200000;1,00E+29;d533a451e58092e652033d82f4530e46cd0a24ade8e2c0539d43e6dc656f656a;1205969481;386393970;3,56E+13;00000000000000000000000000000000000000003761f5f402353b0d77ee39d0;0377950b04940f4e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f0e8a469bd9cd000000000000;1275;1128;7847;3021;50630570285;11,00;;;;;1,00;;;;
759160;0000000000000000000159a0c4d4c746082a8af22a4ca30c0806896fc4f690b7;2:30:00;18.10.2022 1:35;125572;48652;271528;536870912;20000000;1,00E+29;c736aefc555e5a0695094d15182f05bd089e5b9215f7d98d631e81ae297f4b6c;2091258132;386393970;3,56E+13;0000000000000000000000000000000000000000376216576b5524c106ce012a;0378950b1b4d696e656420627920416e74506f6f6c383634db000101fce1241cfabe6d6d52c62851bc522a393ca9946ffc21970937cd09f50308356dfffdd344272f6ad902000000000000007e0a0000e534010000000000;145;123;530;360;31081981269;1,00;;;;;1,00;;;;
759161;00000000000000000003b92edb4455e773a32efbeaf5db2bea5e019cc0a43dfd;2:48:00;18.10.2022 1:45;1159279;669731;3168472;536903680;20008000;1,00E+29;433a82843df29c6dc70684d6a977aa59956c95680db620ebc078621e502b6edb;2267099773;386393970;3,56E+13;0000000000000000000000000000000000000000376236bad4750e7495adc884;0379950b1362696e616e63652f383638cd0001030314a732fabe6d6d0246e0aca7b1b498eed081436e730c746b650b01b8ea2acd82e947e00b90957902000000000000000000893bcffe1f0100000000;2054;1732;5374;7798;1,02E+12;1,00;;;;;18,00;;;;
759162;0000000000000000000585166b9afc854c982d55a97007dd091d9a14f09e441e;2:49:00;18.10.2022 2:17;137325;87034;398427;582754304;22bc2000;1,00E+29;5bb8e531af35c7b21b34cd8732b62a0adb50635d60bd1892a9a9cc5cf8180513;3688473135;386393970;3,56E+13;00000000000000000000000000000000000000003762571e3d94f828248d8fde;037a950b1b4d696e656420627920416e74506f6f6c3837371c00010103b5599efabe6d6d90b4cbd3d5350048d373448e2376d0df54a61661a793513a10a10f1fa5ee50a102000000000000000000a9e34700000000000000;245;208;589;733;1,03E+11;18,00;;;;;1,00;;;;
759163;0000000000000000000687461e3fca390163a6185aad9225e9e971bf86ae3121;2:56:00;18.10.2022 2:28;437827;245644;1174759;536870916;20000004;1,00E+29;35eb528ad2a18118c26d15f45af06dc3e9e1846ae11271767d66f29fabbec80c;51496350;386393970;3,56E+13;000000000000000000000000000000000000000037627781a6b4e1dbb36d5738;037b950b2cfabe6d6dd122c107452d783fffb5467f4d3d0278b27aa21255f4df585fa3509836ba4ee610000000f09f909f092f4632506f6f6c2f650000000000000000000000000000000000000000000000000000000000000000000000050002200000;850;699;2008;2972;7,81E+11;1,00;;;;;7,00;;;;
759164;0000000000000000000181fe7cd95cc23fdf0ea1bc842388e7359ef08c4d7fb6;2:58:00;18.10.2022 2:29;190127;90013;460166;885841920;34cce000;1,10E+29;cdefd634ae9b9d5183b7f12428532b073e2507e6e93499332b8c30860fe50110;353011516;386393970;3,56E+13;0000000000000000000000000000000000000000376297e50fd4cb8f424d1e92;037c950b0466164e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f0e52c7cc0000361571000000;339;281;868;935;41681429722;7,00;;;;;2,00;;;;
759165;000000000000000000049c7c6f6eccc4c96f82b10845f2b9d4ed2d16d3614c8d;3:08:00;18.10.2022 2:30;1126715;475050;2551865;536870916;20000004;1,00E+29;3e5489217374bec585b813a72b9e1d4e547337ce7da11a90caf4cf5a4147783b;2005570112;386393970;3,56E+13;00000000000000000000000000000000000000003762b84878f4b542d12ce5ec;037d950b0489184e632f706f6f6c696e2e636f6d2ffabe6d6dea83d3c5f905a6f9c9eabcfea01bcdb3525d82da76ccd0e3f61419690415857e01000000000000003e49431a0b3b595cf8c26779e89ac47012001f0d000000000000;1134;971;5406;3659;8,29E+11;2,00;;;;;10,00;;;;
759166;00000000000000000001aae393140584fa3764667d969b517ee39a7641e664ce;3:18:00;18.10.2022 2:48;1327978;595176;3113506;763666436;2d84a004;1,01E+29;7b1ed6378c08cb5ab9231513a23556a54d2f818486bcbe657f6b8c881158bbed;1195389047;386393970;3,56E+13;00000000000000000000000000000000000000003762d8abe2149ef6600cad46;037e950b2cfabe6d6d7d4a226ed2199e4948d2e80c3020b63b906a7fb5443283387c0e7969a761f06510000000f09f909f092f4632506f6f6c2f7300000000000000000000000000000000000000000000000000000000000000000000000500122b1063;1248;1064;6189;4312;2,01E+11;10,00;;;;;10,00;;;;
759167;00000000000000000000a3386dc80b307a81da106e53a95da24170b9fb1be10e;3:25:00;18.10.2022 2:49;490105;316568;1439809;549453824;20c00000;1,00E+29;42fc9c719ac548e43206cfc3979a9227f348d5adebaee8a515ad981c6f777a5b;2366102532;386393970;3,56E+13;00000000000000000000000000000000000000003762f90f4b3488a9eeec74a0;037f950b1b4d696e656420627920416e74506f6f6c38303583000b03107f9b47fabe6d6d0912fb5e1b856bffe8ea62a24ac13ba9098e61cae9bfb48a2681b0a315890db302000000000000000000ad9c72eb010000000000;828;700;2457;2498;2,75E+11;10,00;;;;;7,00;;;;
759168;00000000000000000002677819b4007991617d0f78c2c8c0e05f6bfa5cc15a2e;3:47:00;18.10.2022 2:56;1279018;904651;3992971;545259520;20800000;1,00E+29;185efc954a1ecd8e08c08ced8e264ddeea000da43b1646e9d68e966ab018740b;1884315208;386393970;3,56E+13;000000000000000000000000000000000000000037631972b454725d7dcc3bfa;0380950b0b2f4d61726120506f6f6c2f1a0100020000000300000008005499a111010000000000;1654;1367;6219;5941;1,46E+12;7,00;;;;;22,00;;;;
759169;00000000000000000005763d655b2cf02ea6e1de8d3e4560b018ad4a0b12254f;3:50:00;18.10.2022 2:58;1100005;964333;3993004;652935168;26eb0000;1,00E+29;683ea47179eef514899e67580271dfd143c68ed3cf5563d8ac7e6c5c6c256fc7;539420729;386393970;3,56E+13;0000000000000000000000000000000000000000376339d61d745c110cac0354;0381950b0494224e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f0d00b6bcd101000000000000;684;571;5746;2183;6,58E+11;22,00;;;;;3,00;;;;
759170;00000000000000000006f60d309c3e394b24665cf751e90449b96eab260594ed;3:51:00;18.10.2022 3:08;1090736;969144;3998168;671080452;27ffe004;1,00E+29;13dd6430a9da53dc2d8ad9ba6fa8de005b355d2ab795d9d05d9f6da741f34f35;199531906;386393970;3,56E+13;000000000000000000000000000000000000000037635a39869445c49b8bcaae;0382950b2cfabe6d6d4eb94994ecdf4d1df25a26d0f4124eb3c7890dfdd1ef69606129cae9f5bf9b5610000000f09f909f092f4632506f6f6c2f730000000000000000000000000000000000000000000000000000000000000000000000050097900f63;527;465;6302;1097;7,17E+11;3,00;;;;;1,00;;;;
759171;0000000000000000000199a3a6e37460d037b7d2b2f8352d806db5a600d4f550;4:15:00;18.10.2022 3:18;1396551;865509;3993078;770301952;2de9e000;1,01E+29;f0c6df5e3a7c9ca4cda081ce4c2222a76f6fbcd750817ebe9757703d986e156d;2955245434;386393970;3,56E+13;000000000000000000000000000000000000000037637a9cefb42f782a6b9208;0383950b0469284e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f12b54bd6000025ca33030000;1952;1604;6638;7068;1,06E+12;1,00;;;;;15,00;;;;
759172;00000000000000000000ce2478bef09afd5b368cd7c78b6996d8bb27529e6487;4:19:00;18.10.2022 3:25;1265553;909330;3993543;578674688;227de000;1,00E+29;b60265df50a02232dd184e4ffdebbf123772b0dbf7aa532361002fc78760cb5f;2904823667;386393970;3,56E+13;000000000000000000000000000000000000000037639b0058d4192bb94b5962;0384950b1362696e616e63652f37393028008d0223a1bad1fabe6d6db0559deacfcf1de8670f3beb85fc22456d7715e0cac7430596b661b5f70d46bb0200000000000000ea54000099000000;918;756;5947;9350;1,29E+11;15,00;;;;;7,00;;;;
759173;0000000000000000000598cf514e0efe92f833a125b5c890e19e13aee5d46d59;4:34:00;18.10.2022 3:47;1366783;877057;3997954;536870916;20000004;1,00E+29;764d0976ec65f8268f0c532f1f245ef368cab09efb642cbea2b6b3d1ceba8906;3602895967;386393970;3,56E+13;00000000000000000000000000000000000000003763bb63c1f402df482b20bc;0385950b2cfabe6d6d50c2c272e1ab65183ecb59230ae2d3d9e300a0fcbb2f478ffdb4f52f85a2206610000000f09f909f092f4632506f6f6c2f650000000000000000000000000000000000000000000000000000000000000000000000050026330100;1974;1492;6652;7810;1,14E+12;7,00;;;;;6,00;;;;
759174;00000000000000000004fb8b3c20b991f21b0689bf23f1ab810ee6adfcc36c14;4:41:00;18.10.2022 3:50;1146665;948668;3992669;551550976;2,00E+01;1,00E+29;dbdcd43c7e90c4e90d1d96a29c8c32c173f169f288be7c4578d9903fd732e6a9;4020702517;386393970;3,56E+13;00000000000000000000000000000000000000003763dbc72b13ec92d70ae816;0386950b0120120909092009092009059b83068332d8020000;970;747;5972;3430;3,32E+11;6,00;;;;;6,00;;;;
759175;000000000000000000064b6b6b735c23e1067ddeb82cda075870b18d8318fdd1;4:47:00;18.10.2022 3:51;1103778;963040;3992898;551550976;2,00E+01;1,00E+29;ec1f2d93021973f8bbf9068a7e76d411f916f4c3181d770636225358a50f35aa;2206085896;386393970;3,56E+13;00000000000000000000000000000000000000003763fc2a9433d64665eaaf70;0387950b04da2f4e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f04202dd909d4020000000000;765;601;5843;2565;1,43E+11;6,00;;;;;1,00;;;;
759176;0000000000000000000347ede469d4c8710d7ae2f94f9216e86cdf1ba4785bf1;4:53:00;18.10.2022 4:15;1203995;929751;3993248;541065216;20400000;1,00E+29;4e4e3ffe42a4f6c4b892a8dc213ad3c7e96b0a368845e6c7fcb2d987feca8817;2910081765;386393970;3,56E+13;000000000000000000000000000000000000000037641c8dfd53bff9f4ca76ca;0388950b122f5669614254432f5472757374706f6f6c2f2cfabe6d6d1b90d7a728261081f2670909b1757195fbcbffaf6a0815bed9f428e8593e0179100000000000000010c1088e13c04da61891578a3ce17a000000000000;823;682;6523;2705;6,45E+11;1,00;;;;;2,00;;;;
759177;000000000000000000044a34fa25e97b335878e4140d272d37ad9cb3b003aa90;4:54:00;18.10.2022 4:19;1029066;611873;2864685;541065216;20400000;1,00E+29;9daaad3c2f096712f34248af2fa904855188f2b7ff0e285d4f1acafd643c5d60;4130915387;386393970;3,56E+13;000000000000000000000000000000000000000037643cf16673a9ad83aa3e24;0389950b315c20506f7765726564206279204c75786f722054656368205c0000000085ca86f15375249f00368e45f0d2000000000000;567;474;5459;1595;3,27E+11;2,00;;;;;3,00;;;;
759178;000000000000000000068f3488297b2cb2a7d997040b0ffb7a395e945023c2f7;4:56:00;18.10.2022 4:34;213621;112935;552426;640876544;26330000;1,00E+29;41f55ecb3c07ae078d07e2b64e66283b66eadb2c0b269059c0bfbd24fd91fa96;892455502;386393970;3,56E+13;000000000000000000000000000000000000000037645d54cf939361128a057e;038a950b0b2f4d61726120506f6f6c2f1a0100020000000300000008001c887600000000000000;299;245;1066;802;25898196373;3,00;;;;;28,00;;;;
759179;000000000000000000051ad07f5a11b6701fb954648b0dc44ca41c8a3d6eba92;4:59:00;18.10.2022 4:41;184075;82996;433063;654344192;27008000;1,00E+29;8a4fa54b9ab77c40533dd0cb10aaa1d7b45720b7eafa342b5ae6f8c909167443;554429195;386393970;3,56E+13;000000000000000000000000000000000000000037647db838b37d14a169ccd8;038b950b1b4d696e656420627920416e74506f6f6c3838332800b50231ee957dfabe6d6deb854c57b626746e2af7bf5214e69eeb353f226700c2837db888e9492203dabd02000000000000000000d8df4700000000000000;250;208;899;677;34623126031;28,00;;;;;1,00;;;;
759180;0000000000000000000096a4256c5590a8cc22592df2904adc7199120d8ceae2;5:27:00;18.10.2022 4:47;1556714;812283;3993563;536887296;20004000;1,00E+29;570bca2493ef12a696d2f6a8c43111879ba3b383bfd1c7aab6726596aba0f781;116070177;386393970;3,56E+13;000000000000000000000000000000000000000037649e1ba1d366c830499432;038c950b11627463636f6d383939930051033c387f71fabe6d6dc2a20223ffbfaaa65a88e3eb59b1503857eb083bd8c15a9c3989a0b570f0747b04000000000000000000711d0af6060100000000;2562;2061;7327;7992;1,55E+12;1,00;;;;;5,00;;;;
759181;000000000000000000033ea9cfde99962e5dca8f615c4c4de29fe1707855b02f;5:28:00;18.10.2022 4:53;1636768;787181;3998311;826179588;313e8004;1,10E+29;b870cc2b6e5973f596ebf027dfd784e59c7cf5aae77b0fcc619b96b42600f93a;2481040410;386393970;3,56E+13;00000000000000000000000000000000000000003764be7f0af3507bbf295b8c;038d950b2cfabe6d6d94b1012cad4a324b5b244e17849f6dd5767f43697aed7e7e0f7b60263543c86110000000f09f909f092f4632506f6f6c2f650000000000000000000000000000000000000000000000000000000000000000000000050045000000;817;718;8286;6440;1,65E+11;5,00;;;;;8,00;;;;
759182;00000000000000000003762f02227ff13dbf5dbf1959378e1ce8f94b389e066e;5:33:00;18.10.2022 4:54;1092172;520799;2654569;805298176;2fffe000;1,01E+29;2badaf1cb0622d15b7fa3676e4e8c341e3c78d38275d1c308f623a2f3f16815b;160984942;386393970;3,56E+13;00000000000000000000000000000000000000003764dee274133a2f4e0922e6;038e950b192f5669614254432f4d696e656420627920706974776f726b2f2cfabe6d6d1a5f371bccbdeb11a240a00d4ead53fea32b2ce5cce1cf5381d12e5606bdf9ef100000000000000010bab17317ae2a4f5afbfb106478f41e0000000000;996;830;5505;3080;1,17E+11;8,00;;;;;4,00;;;;
759183;00000000000000000001bba395630ec4c04b84e22edf76565323614f52398fb6;5:41:00;18.10.2022 4:56;1131590;953975;3993515;536895488;20006000;1,00E+29;d5783a844481f4b661e46043c5106c1bcaf868f6f4c6147b287499f5916d614d;2279447242;386393970;3,56E+13;00000000000000000000000000000000000000003764ff45dd3323e2dce8ea40;038f950b1362696e616e63652f3834319300b5024130302dfabe6d6da875758cd81e133c7bcda0a1c694f360adedb0b5f0f1c63656f94d1c064d2b0604000000000000006e730000b8394e00;908;740;5787;3603;9,10E+11;4,00;;;;;14,00;;;;
